Date,Open,High,Low,Close,Volume,Name
2014-01-02,187.21,187.4,185.2,185.53,4546809,IBM
2014-01-03,185.83,187.35,185.3,186.64,4064095,IBM
2014-01-06,187.15,187.36,185.3,186.0,4068105,IBM
2014-01-07,186.39,190.35,186.38,189.71,5934322,IBM
2014-01-08,189.33,189.42,187.26,187.97,4604105,IBM
2014-01-09,189.02,189.5,186.55,187.38,4322284,IBM
2014-01-10,188.31,188.57,186.28,187.26,4023089,IBM
2014-01-13,186.26,186.95,183.86,184.16,5789107,IBM
2014-01-14,185.06,186.43,183.88,185.92,4619509,IBM
2014-01-15,185.82,188.65,185.49,187.74,4829291,IBM
2014-01-16,187.53,188.99,186.8,188.76,4775167,IBM
2014-01-17,188.04,190.81,187.86,190.09,7671146,IBM
2014-01-21,190.23,190.39,186.79,188.43,11121410,IBM
2014-01-22,181.28,183.5,179.67,182.25,13800586,IBM
2014-01-23,181.43,183.72,180.71,182.73,6974334,IBM
2014-01-24,181.25,182.81,179.64,179.64,6938768,IBM
2014-01-27,179.6,179.65,177.66,177.9,5209244,IBM
2014-01-28,178.05,178.45,176.16,176.85,5336989,IBM
2014-01-29,175.98,178.53,175.89,176.4,4971142,IBM
2014-01-30,177.17,177.86,176.36,177.36,4854397,IBM
2014-01-31,176.11,177.84,175.34,176.68,5195381,IBM
2014-02-03,176.02,176.02,172.72,172.9,7187767,IBM
2014-02-04,173.53,173.75,172.36,172.84,4351180,IBM
2014-02-05,172.19,174.97,172.19,174.24,4714375,IBM
2014-02-06,173.97,174.85,173.79,174.67,4292478,IBM
2014-02-07,175.64,177.56,175.07,177.25,4725647,IBM
2014-02-10,176.97,177.65,176.25,177.14,3544486,IBM
2014-02-11,176.81,180.39,176.8,179.7,4654207,IBM
2014-02-12,179.52,181.25,179.26,180.24,3984148,IBM
2014-02-13,178.22,182.36,177.86,181.84,4482761,IBM
2014-02-14,181.26,184.43,180.99,183.69,4665873,IBM
2014-02-18,183.18,184.0,182.32,183.19,4435484,IBM
2014-02-19,182.74,185.65,182.41,182.95,4671705,IBM
2014-02-20,182.96,184.86,182.79,184.26,4968267,IBM
2014-02-21,184.25,185.71,182.62,182.79,5699331,IBM
2014-02-24,182.82,185.16,182.82,183.45,4595312,IBM
2014-02-25,183.52,184.6,182.88,183.23,3902332,IBM
2014-02-26,183.94,185.28,183.56,184.06,3740884,IBM
2014-02-27,183.83,185.95,183.81,185.27,3827965,IBM
2014-02-28,185.38,186.12,183.65,185.17,4668452,IBM
2014-03-03,183.33,184.64,182.82,184.26,3952704,IBM
2014-03-04,185.81,187.16,185.68,186.44,4734235,IBM
2014-03-05,186.57,187.95,186.4,187.14,3487359,IBM
2014-03-06,187.37,188.39,186.9,187.64,3817529,IBM
2014-03-07,188.35,188.92,187.18,187.68,4117826,IBM
2014-03-10,187.55,188.37,185.85,186.39,4594054,IBM
2014-03-11,187.41,188.45,186.04,186.76,4229679,IBM
2014-03-12,186.01,187.45,185.89,186.22,4833158,IBM
2014-03-13,186.41,187.0,183.71,183.9,4913208,IBM
2014-03-14,183.89,184.29,182.21,182.21,5490326,IBM
2014-03-17,182.66,186.35,182.66,185.81,4938754,IBM
2014-03-18,185.99,187.9,185.54,186.81,3961319,IBM
2014-03-19,185.6,186.7,183.5,184.71,4323930,IBM
2014-03-20,184.47,188.26,184.17,187.9,5062629,IBM
