Date,Open,High,Low,Close,Volume,Name
2016-01-04,54.32,54.8,53.39,54.8,52843210,MSFT
2016-01-05,54.93,55.39,54.54,55.05,34079674,MSFT
2016-01-06,54.32,54.4,53.64,54.05,39518863,MSFT
2016-01-07,52.7,53.48,52.07,52.17,56564852,MSFT
2016-01-08,52.37,53.28,52.15,52.33,48753969,MSFT
2016-01-11,52.51,52.85,51.46,52.3,36943756,MSFT
2016-01-12,52.76,53.1,52.06,52.78,36095539,MSFT
2016-01-13,53.8,54.07,51.3,51.64,66119018,MSFT
2016-01-14,52.0,53.42,51.57,53.11,51429807,MSFT
2016-01-15,51.31,51.97,50.34,50.99,70739137,MSFT
2016-01-19,51.48,51.68,50.06,50.56,43128276,MSFT
2016-01-20,49.98,51.38,49.1,50.79,63162940,MSFT
2016-01-21,51.0,51.58,50.3,50.48,40169367,MSFT
2016-01-22,51.41,52.33,51.26,52.29,36878402,MSFT
2016-01-25,51.94,52.65,51.65,51.79,34497323,MSFT
2016-01-26,51.79,52.44,51.55,52.17,28699484,MSFT
2016-01-27,52.01,52.2,51.02,51.22,36266102,MSFT
2016-01-28,51.86,52.21,51.25,52.06,58489190,MSFT
2016-01-29,54.73,55.09,54.0,55.09,83137039,MSFT
2016-02-01,54.88,55.09,54.5,54.71,43587105,MSFT
2016-02-02,54.17,54.26,52.65,53.0,54453559,MSFT
2016-02-03,53.25,53.39,51.26,52.16,57347519,MSFT
2016-02-04,52.1,52.81,51.37,52.0,46803371,MSFT
2016-02-05,51.94,52.0,49.56,50.16,60651115,MSFT
2016-02-08,49.55,49.57,48.19,49.41,57006105,MSFT
2016-02-09,49.02,50.24,48.67,49.28,45822192,MSFT
2016-02-10,49.89,50.39,49.52,49.71,37899918,MSFT
2016-02-11,48.68,50.11,48.51,49.69,48448154,MSFT
2016-02-12,50.25,50.68,49.75,50.5,33292336,MSFT
2016-02-16,50.9,51.09,50.13,51.09,35937137,MSFT
2016-02-17,51.49,52.77,51.45,52.42,39670289,MSFT
2016-02-18,52.33,52.95,52.1,52.19,26244683,MSFT
2016-02-19,51.97,52.28,51.53,51.82,33275399,MSFT
2016-02-22,52.28,53.0,52.28,52.65,24854437,MSFT
2016-02-23,52.34,52.37,50.98,51.18,28390773,MSFT
2016-02-24,50.69,51.5,50.2,51.36,32076012,MSFT
2016-02-25,51.73,52.1,50.61,52.1,26695920,MSFT
2016-02-26,52.6,52.68,51.1,51.3,35869193,MSFT
2016-02-29,51.35,51.65,50.66,50.88,31247142,MSFT
2016-03-01,50.97,52.59,50.92,52.58,32778474,MSFT
2016-03-02,52.41,52.96,52.16,52.95,29049172,MSFT
2016-03-03,52.97,52.97,51.78,52.35,24418148,MSFT
2016-03-04,52.4,52.45,51.71,52.03,32280449,MSFT
2016-03-07,51.56,51.8,50.58,51.03,38407847,MSFT
2016-03-08,50.8,52.13,50.6,51.65,33352218,MSFT
2016-03-09,51.89,52.85,51.86,52.84,28145151,MSFT
2016-03-10,52.93,52.94,51.16,52.05,38384242,MSFT
2016-03-11,53.0,53.07,52.38,53.07,32174336,MSFT
2016-03-14,52.71,53.59,52.63,53.17,23751138,MSFT
